Name,Overall_Rating,Cuisine,Rate for two,City,Review
Narcos Cafe,2.5,"Cafe, Fast Food, Coffee, Beverages",500,bangalore,"This review is for the one at ITC factory, my second visit and is surely the last …they don’t even warm up the slice of cake plus old cakes sold at the counter , not a safe place to eat..nothing is available at the outlet it’s better you closed the property and don’t waste peoples time and money…"
Narcos Cafe,2.5,"Cafe, Fast Food, Coffee, Beverages",500,bangalore,"They claim to be open for breakfast at 9am. We went at 10am & the place was not even clean. For the size of the restaurant, they just had 1 person doing everything. Service was pathetic. Table wasn’t clean, no cutlery, no tissues, no one to to hep. "
Narcos Cafe,2.5,"Cafe, Fast Food, Coffee, Beverages",500,bangalore,Liked the ambience but the service was quite late and food was almost cold by then. Taste is quite good in many dishes.
Isobel,-,"Cafe, Continental, Italian, Beverages",700,bangalore,"Such a cute place perfect for coffee lovers! I just loved the interiors... they were so pleasant! They have outdoor and indoor seating with tables and chairs outside and sofa chairs inside. The sofa chairs are very pretty with good cushioning which makes seating comfortable. There are plastic vibes and pink flowers adorning the ceiling and windows. The glass display has pastries, cheesecake, croissants, etc. The menu has ice coffee, cold coffee, frappe, milkshakes, hot coffee, etc. The food menu includes starters like bruschetta, bagels, sandwiches, etc and mains like pizza, pasta. We ordered tiramisu latte and classic cold coffee and both were good, with right sweetness and consistency....read more"
Cafe Vishala,-,"Cafe, Coffee, Fast Food, Pasta, Sandwich, Beverages",550,bangalore,"If you don’t want to have processed food, then please have it from this place, much recommended from me."
Cafe Vishala,-,"Cafe, Coffee, Fast Food, Pasta, Sandwich, Beverages",550,bangalore,Cold and very badly handled food
Caffeinate And Chill,3.9,"Cafe, Coffee, Shake, Beverages, Desserts",500,udaipur,Delicious
Cosmo Bar & Bistro,4.1,"North Indian, Continental, Beverages, Chinese, Cafe, Desserts",700,udaipur,nice food 
Cosmo Bar & Bistro,4.1,"North Indian, Continental, Beverages, Chinese, Cafe, Desserts",700,udaipur,amazing food 
Cosmo Bar & Bistro,4.1,"North Indian, Continental, Beverages, Chinese, Cafe, Desserts",700,udaipur,amazing test 
Cosmo Bar & Bistro,4.1,"North Indian, Continental, Beverages, Chinese, Cafe, Desserts",700,udaipur,nice food 
Green Grotto Bistro,4.2,"Asian, Thai, Cafe, Sandwich, Pizza, Coffee, Desserts, Beverages",500,udaipur,good 👍
Yummy Yoga,4.5,"Cafe, Coffee, North Indian, Chinese, Pizza, Fast Food, Desserts, Beverages","1,000",udaipur,your food is very bad and jo order dete h uske opposite milta h 
Yummy Yoga,4.5,"Cafe, Coffee, North Indian, Chinese, Pizza, Fast Food, Desserts, Beverages","1,000",udaipur,The glass bottle was broken so coudent drink the shake
Yummy Yoga,4.5,"Cafe, Coffee, North Indian, Chinese, Pizza, Fast Food, Desserts, Beverages","1,000",udaipur,I would have rated food but nothing was delivered except 4 servings of maggi
Seven Lakes Cafe And Restaurant,3.7,"Cafe, Beverages, North Indian, Healthy Food, Mexican, Italian, Chinese, Desserts","1,300",udaipur,Waste of time and money. Takes more than an hour for service even with late night ‘minimum rush hours’ . Its been the fourth experience (giving multiple chances). Sad to see waste of a beautiful space at FS!
Seven Lakes Cafe And Restaurant,3.7,"Cafe, Beverages, North Indian, Healthy Food, Mexican, Italian, Chinese, Desserts","1,300",udaipur,Amazing ambience. Great food. Beautiful view. The staff was cordial and  the service time was also appropriate.
Seven Lakes Cafe And Restaurant,3.7,"Cafe, Beverages, North Indian, Healthy Food, Mexican, Italian, Chinese, Desserts","1,300",udaipur,Good place to eat and hang out. The staff was amazing.
Seven Lakes Cafe And Restaurant,3.7,"Cafe, Beverages, North Indian, Healthy Food, Mexican, Italian, Chinese, Desserts","1,300",udaipur,"very poor service. had to wait lot of time for a small order. staff is non cooperative. despite a good view from the cafe, the services sploit it all. not recommended"
