Name,Overall_Rating,Cuisine,Rate for two,City,Review
Zolocrust - Hotel Clarks Amer,4.8,"Cafe, BBQ, Asian, Continental, Fast Food, Italian, Desserts, Beverages","1,800",jaipur,"Let me start by telling everyone that im a pizza lover. I really wanted to try this place out because its reviews were really good but it was quite expensive so waited for the right time.I would say it wasn’t up to the mark as what I expected. The sauce on the pizza was negligible and the cheese I personally didnt like . The vegetables were great as they weren’t chewy and melted just after biting them. The crust was thin, crispy and light which was tasty. BUT the overall combination of the pizza didnt justify the worth (1200/-)nor the taste.The pasta was tasty but the bread that came with it was chewy as hell i would so INEDIBLE ."
Zolocrust - Hotel Clarks Amer,4.8,"Cafe, BBQ, Asian, Continental, Fast Food, Italian, Desserts, Beverages","1,800",jaipur,"Tastes amazing; however, spills toppings as you have a morsel. Ate base and veggies separately 😀"
Zolocrust - Hotel Clarks Amer,4.8,"Cafe, BBQ, Asian, Continental, Fast Food, Italian, Desserts, Beverages","1,800",jaipur,"When I first came across Zolocrust I was amazed to see a 4.9 rating on Zomato and was wondering how is it possible?After visiting this gem of a Cafe and indulging in their fresh and delicious pizzas, falafel wraps and irresistible aromatic coffee, I am now wondering why they don't have a perfect 5 rating!!I can say it's the best pizza I have had in India, with thin crust just at the right crispness and a perfect balance between cheese and veggie toppings.Ambience is warm and cozy and they also have a small kids play area to keep your lil ones busy, once they are done licking their fingers clean after indulging in delicious food.In short, Zolocrust is serving perfection and I would...read more"
Zolocrust - Hotel Clarks Amer,4.8,"Cafe, BBQ, Asian, Continental, Fast Food, Italian, Desserts, Beverages","1,800",jaipur,"Pretty underwhelming to say the least.Started off with Rice noodles with Amazon air toast. The noodles were ironically lacking of any taste whatsoever. The Amazon pockets were good.Aglio oglio was the safest last choice and ended up being the biggest disappointment for the price point and quantity which was falling throughout.In desserts, chocolate truffle was good and cupcake was below par. Orange juice and lemon iced tea were good.Portion size for all food items was quite small.Wouldn't recommend."
Assamica,4.3,"Cafe, Continental, Italian, Lebanese, Fast Food, Desserts, Beverages",950,jaipur,"It’s a nice, cozy and peaceful place. We had 1. Assamica crunchy creamy frappe 2. Oreo shake3. Mexican bowl4. Peri peri fries 5. Veg burgerThe food is good and the ambience is nice. There are some board games and indoor games as well.Overall a good experience."
Assamica,4.3,"Cafe, Continental, Italian, Lebanese, Fast Food, Desserts, Beverages",950,jaipur,The pasta had massive stick like herbs in the sauce which had to be physically removed. I accidentally swallowed one of the sticks and it's stuck in my food pipe. 
Assamica,4.3,"Cafe, Continental, Italian, Lebanese, Fast Food, Desserts, Beverages",950,jaipur,They have added sugar in latte when we asked not to in instructions
Uphoria- Cafe & Restro,3.8,"Cafe, Fast Food, Chinese, Italian, North Indian, Burger, Pizza, Beverages","1,100",jaipur,"Improve coffee packaging, rest everything is perfect"
Alora Cafe & Patisserie,3.2,"Cafe, Coffee, Shake, Beverages, Burger, Fast Food, Chinese, Desserts","1,100",jaipur,wow so great place with tasty foods all dish are so yummy 😋 😍
Alora Cafe & Patisserie,3.2,"Cafe, Coffee, Shake, Beverages, Burger, Fast Food, Chinese, Desserts","1,100",jaipur,Beautiful place with delicious food !
